question_id,question,category,difficulty
1,Có bao nhiêu bệnh nhân trong hệ thống?,cypher_query,easy
2,Liệt kê tên của 10 bác sĩ có mức lương cao nhất,cypher_query,medium
3,Tìm tất cả các bệnh nhân có nhóm máu O+,cypher_query,easy
4,Có bao nhiêu ca khám bệnh đang ở trạng thái OPEN?,cypher_query,medium
5,Tính tổng số tiền thanh toán của tất cả các lần khám bệnh,cypher_query,medium
6,Tìm bệnh nhân trẻ tuổi nhất trong hệ thống,cypher_query,easy
7,Liệt kê tất cả các bệnh viện ở bang Florida,cypher_query,easy
8,Có bao nhiêu bác sĩ tốt nghiệp từ Johns Hopkins University School of Medicine?,cypher_query,medium
9,Tìm những bệnh nhân đã khám bệnh nhiều hơn 3 lần,cypher_query,hard
10,Bác sĩ nào đã điều trị nhiều bệnh nhân nhất?,cypher_query,hard
11,Tìm các ca khám có kết quả xét nghiệm là 'Abnormal',cypher_query,medium
12,Liệt kê tất cả các công ty bảo hiểm trong hệ thống,cypher_query,easy
13,Tìm bệnh nhân nam có ngày sinh từ năm 1990 trở về sau,cypher_query,medium
14,Có bao nhiêu ca nhập viện khẩn cấp (Emergency)?,cypher_query,medium
15,Tính số tiền thanh toán trung bình cho mỗi lần khám,cypher_query,medium
16,Tìm tất cả các bác sĩ sinh năm 1980 trở về sau,cypher_query,medium
17,Liệt kê các bệnh nhân đã khám tại bệnh viện Wallace-Hamilton,cypher_query,hard
18,Có bao nhiêu ca khám được thanh toán bởi UnitedHealthcare?,cypher_query,medium
19,Tìm các chẩn đoán chính (primary_diagnosis) phổ biến nhất,cypher_query,hard
20,Liệt kê 5 bệnh viện có doanh thu cao nhất từ các ca khám,cypher_query,hard
21,Tìm bệnh nhân có số tiền thanh toán cao nhất cho một lần khám,cypher_query,medium
22,Có bao nhiêu bác sĩ tốt nghiệp năm 2010 trở về sau?,cypher_query,medium
23,Tìm tất cả các ca khám có triệu chứng liên quan đến 'cough',cypher_query,medium
24,Liệt kê các bệnh nhân đang được điều trị (visit_status = OPEN),cypher_query,easy
25,Bác sĩ nào có mức lương thấp nhất?,cypher_query,easy
26,Tính tổng doanh thu của mỗi bệnh viện,cypher_query,hard
27,Tìm các ca khám diễn ra trong tháng 1 năm 2023,cypher_query,hard
28,Có bao nhiêu bệnh nhân nữ trong hệ thống?,cypher_query,easy
29,Liệt kê các ca khám có thời gian nằm viện trên 20 ngày,cypher_query,hard
30,Tìm bệnh viện nào có nhiều ca khám nhất,cypher_query,hard
