question_id,question,category,difficulty
1,Rối loạn phát triển thần kinh là gì?,dsm5,easy
2,Các tiêu chuẩn chẩn đoán rối loạn phát triển trí tuệ là gì?,dsm5,medium
3,Phân biệt rối loạn phát triển trí tuệ với rối loạn phổ tự kỷ như thế nào?,dsm5,hard
4,DSM-5 là gì và được sử dụng để làm gì?,dsm5,easy
5,Mã số của rối loạn phát triển trí tuệ trong DSM-5 là gì?,dsm5,easy
6,Rối loạn phát triển trí tuệ ảnh hưởng đến những chức năng nào?,dsm5,medium
7,Khi nào rối loạn phát triển trí tuệ thường bắt đầu xuất hiện?,dsm5,medium
8,Có những mức độ nghiêm trọng nào của rối loạn phát triển trí tuệ?,dsm5,medium
9,Các rối loạn giao tiếp được phân loại như thế nào trong DSM-5?,dsm5,medium
10,Tiêu chuẩn chẩn đoán rối loạn phổ tự kỷ theo DSM-5 là gì?,dsm5,hard
11,Sự khác biệt giữa rối loạn thần kinh - nhận thức chủ yếu và nhẹ là gì?,dsm5,hard
12,Làm thế nào để đánh giá chức năng thích ứng trong rối loạn phát triển trí tuệ?,dsm5,hard
13,Rối loạn học tập đặc hiệu là gì và có những loại nào?,dsm5,medium
14,Tiêu chuẩn chẩn đoán ADHD theo DSM-5 như thế nào?,dsm5,medium
15,Có những rối loạn nào thuộc nhóm rối loạn phát triển thần kinh?,dsm5,medium
16,Chẩn đoán phân biệt rối loạn phát triển trí tuệ bao gồm những rối loạn nào?,dsm5,hard
17,Test trí tuệ chuẩn đóng vai trò gì trong chẩn đoán rối loạn phát triển trí tuệ?,dsm5,medium
18,Các lĩnh vực chức năng thích ứng được đánh giá trong rối loạn phát triển trí tuệ là gì?,dsm5,medium
19,Rối loạn vận động có được đề cập trong DSM-5 không?,dsm5,medium
20,Làm thế nào để phân biệt rối loạn phát triển trí tuệ với chậm phát triển toàn diện?,dsm5,hard
21,Rối loạn tic là gì và được phân loại như thế nào trong DSM-5?,dsm5,medium
22,Có cần đánh giá lâm sàng để chẩn đoán rối loạn phát triển trí tuệ không?,dsm5,easy
23,Sự hỗ trợ thường xuyên có vai trò gì trong rối loạn phát triển trí tuệ?,dsm5,medium
24,Rối loạn ngôn ngữ và rối loạn âm thanh lời nói khác nhau như thế nào?,dsm5,hard
25,DSM-5 được dịch và hiệu đính bởi ai tại Việt Nam?,dsm5,easy
26,Rối loạn phát triển trí tuệ có thể xuất hiện cùng với các rối loạn khác không?,dsm5,medium
27,Các hoạt động thường ngày bị ảnh hưởng trong rối loạn phát triển trí tuệ bao gồm những gì?,dsm5,medium
28,Tiêu chuẩn A trong chẩn đoán rối loạn phát triển trí tuệ đề cập đến gì?,dsm5,easy
29,Làm thế nào để xác định mức độ nghiêm trọng của rối loạn phát triển trí tuệ?,dsm5,hard
30,Rối loạn phát triển thần kinh có thể điều trị được không và phương pháp nào được khuyến nghị?,dsm5,hard
