hospital_id,hospital_name,hospital_state
0,"Bệnh viện Ngô, Đặng và Nguyễn",TP. Hồ Chí Minh
1,Bệnh viện Phạm Cty TNHH,Quảng Ninh
2,"Bệnh viện Lưu, Bùi và Huỳnh",Quảng Ninh
3,Bệnh viện Phan,Nghệ An
4,Bệnh viện Nguyễn-Bùi,Bình Dương
5,Bệnh viện Lưu-Hồ,Quảng Nam
6,Bệnh viện Nguyễn-Đỗ,Quảng Ninh
7,"Bệnh viện Lê, Nguyễn và Lâm",Đồng Nai
8,Bệnh viện Lý Cty TNHH,Hà Nội
9,Bệnh viện Đào-Lưu,Bình Định
10,"Bệnh viện Đồng, Võ và Ngô",Phú Yên
11,Bệnh viện Đồng,Bình Định
12,Bệnh viện Võ,Bình Định
13,Bệnh viện Lâm Ltd,Bình Định
14,Bệnh viện Lâm Cty TNHH,Ninh Thuận
15,Bệnh viện Phạm,Ninh Thuận
16,Bệnh viện Võ,Hà Nội
17,Bệnh viện Lý,Quảng Nam
18,Bệnh viện Lâm-Dương,Quảng Ngãi
19,Bệnh viện Võ Ltd,Bà Rịa - Vũng Tàu
20,Bệnh viện Phan,Phú Yên
21,Bệnh viện Lưu-Võ,Cần Thơ
22,Bệnh viện Đỗ,Quảng Ngãi
23,Bệnh viện Phan-Huỳnh,Khánh Hòa
24,Bệnh viện Hoàng,Phú Yên
25,"Bệnh viện Vũ, Đào và Trần",Quảng Ngãi
26,"Bệnh viện Nguyễn, Hồ và Trần",Hà Tĩnh
27,Bệnh viện Hoàng-Đồng,Bình Định
28,Bệnh viện Dương LLC,Quảng Ngãi
29,Bệnh viện Đỗ,Cần Thơ
